"","x","y"
"1",17.6908311243592,45.893505556919
"2",18.0333828433704,46.6641161268237
"3",18.3133066892576,50.4288906191632
"4",18.4512471957698,46.7969276528508
"5",18.7346036484317,46.855711681709
"6",18.7349387653935,46.9706646924365
"7",18.7792822877455,47.1122136780564
"8",18.8618630629881,50.6023067243334
"9",18.8768914167966,47.1122136780564
"10",18.9282087735244,50.6209614988863
"11",18.9321762940132,47.4259390479296
"12",18.9735790996932,47.8733477320576
"13",18.9739955516928,47.4974572767501
"14",18.9814246168929,49.0188851125987
"15",19.2711087707089,47.8080074658507
"16",19.2907992374176,50.1694745843944
"17",19.3052930210795,54.2002178810513
"18",19.3119913835326,47.9517424187902
"19",19.3131471481065,49.250838284466
"20",19.3720939239606,48.0762867317397
"21",19.3749607321507,48.09676286547
"22",19.3997404128529,48.1050507716304
"23",19.4395243534478,49.4756050211951
"24",19.4441588652459,49.5692389847166
"25",19.4976765468907,50.0824658439859
"26",19.5089688339435,48.4301910610858
"27",19.5272085922721,50.0755767983422
"28",19.5333446463768,48.5791868726014
"29",19.5543380299,51.8379932181215
"30",19.5971151647009,48.7185879833892
"31",19.6195289989876,49.3006992240929
"32",19.6293399682076,47.8080074658507
"33",19.6667926163306,48.9381869556594
"34",19.6740684144688,49.0014159656555
"35",19.6940373362601,46.855711681709
"36",19.7049285170077,49.0324387485825
"37",19.715226992949,49.0832693345778
"38",19.7642996408995,48.2092732840449
"39",19.7698225105167,49.9318654925231
"40",19.7742290143407,53.6877240104644
"41",19.7795134381813,49.250838284466
"42",19.7820250853417,47.6290398308054
"43",19.7920827219804,51.508107570369
"44",19.861108637561,52.2626744268284
"45",19.9166309335282,49.3506281770183
"46",19.9380882894233,49.4392093296595
"47",19.9571295427087,49.0014159656555
"48",19.9714532446513,49.4878156156035
"49",20.0057641858999,50.1305860670506
"50",20.0530042267305,49.5274408621178
"51",20.0705083914246,50.2352931942003
"52",20.1106827159451,49.6056482113029
"53",20.1238542438446,49.7610947867387
"54",20.1292877351609,49.8573838277528
"55",20.1533731178365,49.8888760689509
"56",20.1813034797492,46.9706646924365
